         7772742 function calls (7770539 primitive calls) in 7.887 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    34/14    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.000    0.000 __init__.py:873(blas_fpe_check)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      106    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        5    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        5    0.000    0.000    0.000    0.000 typing.py:1841(__init__)
      305    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      186    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:60(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 typing.py:731(_make_union)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
       24    0.000    0.000    0.000    0.000 inspect.py:175(get_annotations)
       21    0.000    0.000    0.000    0.000 overrides.py:25(get_array_function_like_doc)
      243    0.000    0.000    0.000    0.000 _parser.py:240(__next)
      279    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        5    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        5    0.000    0.000    0.000    0.000 typing.py:1721(_get_protocol_attrs)
        2    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
      409    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       24    0.000    0.000    0.000    0.000 inspect.py:747(unwrap)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:809(_sanity_check)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
      106    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       99    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      126    0.000    0.000    0.000    0.000 typing.py:1598(_value_and_type_iter)
      121    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       54    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
      107    0.000    0.000    0.000    0.000 _parser.py:176(append)
        7    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
      283    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      104    0.000    0.000    0.000    0.000 typing.py:1603(__eq__)
       14    0.000    0.000    0.000    0.000 __init__.py:145(_check_size)
        1    0.000    0.000    0.000    0.000 _globals.py:66(_CopyMode)
        5    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        3    0.000    0.000    0.000    0.000 __init__.py:509(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
      106    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
        2    0.000    0.000    0.000    0.000 random.py:135(seed)
        2    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
       26    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       99    0.000    0.000    0.000    0.000 inspect.py:3045(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.000    0.000 _array_api_info.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:626(_register_types)
     16/7    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 numeric.py:170(ones)
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
       13    0.000    0.000    0.000    0.000 mixins.py:45(_numeric_methods)
        9    0.000    0.000    0.000    0.000 overrides.py:30(finalize_array_function_like)
       48    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:89(<genexpr>)
      108    0.000    0.000    0.000    0.000 __init__.py:17(set_module)
     16/7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      106    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       93    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      117    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      100    0.000    0.000    0.000    0.000 _parser.py:256(match)
        1    0.000    0.000    0.000    0.000 random.py:126(__init__)
       15    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       14    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        4    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
